date;opponent;goals;assists;points;plusMinus;penaltyMinutes;powerPlayGoals;powerPlayPoints;shortHandedGoals;gameWinningGoals;overTimeGoals;shots;shifts;timeOnIce
Apr 5, 24;@ CAR;2;0;2;1;0;0;0;0;0;0;4;22;19:37
Mar 24, 24;vs WPG;2;0;2;2;0;0;0;0;0;0;5;29;21:37
Mar 20, 24;vs TOR;2;0;2;1;2;1;1;0;0;0;2;24;15:06
Mar 18, 24;@ CGY;2;0;2;0;0;2;2;0;1;0;5;23;16:51
Feb 20, 24;vs NJD;2;1;3;1;2;1;1;0;0;0;5;23;17:59
Nov 11, 23;@ NYI;2;0;2;2;0;0;0;0;0;0;5;19;18:09
Apr 16, 24;@ PHI;1;0;1;1;0;0;0;0;0;0;1;22;14:55
Apr 9, 24;@ DET;1;0;1;1;0;0;0;0;1;0;2;23;15:11
Apr 4, 24;vs PIT;1;0;1;-2;0;1;1;0;0;0;8;22;22:21
Mar 22, 24;vs CAR;1;1;2;0;2;1;2;0;0;0;5;27;22:08
Mar 16, 24;@ VAN;1;0;1;1;0;0;0;0;1;0;1;24;19:13
Mar 7, 24;@ PIT;1;1;2;1;0;1;1;0;0;0;1;16;18:43
Mar 1, 24;vs PHI;1;0;1;2;0;0;0;0;0;0;2;22;17:43
Feb 13, 24;vs COL;1;0;1;-2;0;1;1;0;0;0;3;23;20:19
Feb 11, 24;vs VAN;1;0;1;1;0;0;0;0;0;0;3;20;17:46
Feb 10, 24;@ BOS;1;1;2;2;2;0;0;0;0;0;4;20;19:09
Feb 8, 24;@ FLA;1;0;1;-2;0;1;1;0;0;0;3;18;19:30
Feb 6, 24;vs MTL;1;0;1;1;0;0;0;0;0;0;6;22;22:49
Jan 27, 24;@ DAL;1;1;2;-2;0;1;1;0;0;0;4;24;19:32
Jan 2, 24;@ PIT;1;0;1;0;0;1;1;0;1;0;4;19;16:44
Dec 30, 23;vs NSH;1;0;1;0;2;0;0;0;0;0;2;24;22:06
Dec 21, 23;@ CBJ;1;1;2;-1;0;1;2;0;1;1;7;21;21:08
Nov 18, 23;vs CBJ;1;0;1;0;0;0;0;0;0;0;2;19;15:02
Oct 25, 23;@ NJD;1;1;2;2;0;0;0;0;0;0;4;22;20:05
Oct 24, 23;vs TOR;1;0;1;0;0;1;1;0;0;0;14;20;19:43
Apr 15, 24;vs BOS;0;0;0;0;0;0;0;0;0;0;1;21;18:00
Apr 13, 24;vs TBL;0;0;0;-1;0;0;0;0;0;0;2;22;19:16
Apr 11, 24;@ BUF;0;1;1;-1;0;0;0;0;0;0;3;21;17:21
Apr 7, 24;vs OTT;0;0;0;-1;0;0;0;0;0;0;2;22;23:08
Apr 2, 24;@ BUF;0;1;1;-2;0;0;1;0;0;0;3;19;18:58
Mar 30, 24;vs BOS;0;0;0;0;0;0;0;0;0;0;3;22;21:55
Mar 28, 24;@ TOR;0;0;0;-1;0;0;0;0;0;0;2;22;18:27
Mar 26, 24;vs DET;0;0;0;1;0;0;0;0;0;0;4;28;22:28
Mar 14, 24;@ SEA;0;0;0;0;0;0;0;0;0;0;3;22;18:33
Mar 13, 24;@ EDM;0;1;1;0;0;0;1;0;0;0;7;20;20:17
Mar 11, 24;@ WPG;0;0;0;-1;0;0;0;0;0;0;2;25;19:14
Mar 9, 24;vs CHI;0;1;1;0;0;0;1;0;0;0;3;17;17:45
Mar 3, 24;vs ARI;0;1;1;-1;0;0;1;0;0;0;8;20;20:58
Feb 27, 24;@ DET;0;1;1;-2;0;0;0;0;0;0;5;20;15:59
Feb 26, 24;vs OTT;0;0;0;-3;0;0;0;0;0;0;0;19;16:37
Feb 24, 24;@ FLA;0;0;0;-1;0;0;0;0;0;0;4;21;18:06
Feb 22, 24;@ TBL;0;1;1;-1;0;0;0;0;0;0;6;21;22:10
Feb 17, 24;@ MTL;0;1;1;0;0;0;1;0;0;0;3;20;17:22
Jan 24, 24;@ COL;0;1;1;-2;0;0;0;0;0;0;0;19;19:38
Jan 23, 24;@ MIN;0;0;0;-2;0;0;0;0;0;0;3;18;18:51
Jan 20, 24;@ STL;0;0;0;-1;0;0;0;0;0;0;2;21;21:45
Jan 18, 24;vs STL;0;1;1;1;0;0;0;0;0;0;3;18;15:25
Jan 11, 24;vs SEA;0;1;1;0;0;0;0;0;0;0;5;19;16:40
Jan 7, 24;vs LAK;0;1;1;0;0;0;0;0;0;0;0;23;17:29
Jan 5, 24;vs CAR;0;1;1;-1;0;0;1;0;0;0;1;20;15:57
Jan 3, 24;vs NJD;0;2;2;-1;2;0;1;0;0;0;3;22;21:15
Dec 29, 23;@ NYI;0;0;0;-1;0;0;0;0;0;0;1;17;17:06
Dec 27, 23;@ NYR;0;0;0;-1;0;0;0;0;0;0;4;21;16:50
Dec 23, 23;vs TBL;0;0;0;-1;0;0;0;0;0;0;3;21;19:43
Dec 20, 23;vs NYI;0;1;1;-2;0;0;1;0;0;0;5;20;19:01
Dec 17, 23;@ CAR;0;0;0;1;0;0;0;0;0;0;4;24;20:45
Dec 16, 23;@ NSH;0;1;1;-1;2;0;1;0;0;0;6;21;23:07
Dec 14, 23;@ PHI;0;0;0;-1;0;0;0;0;0;0;4;22;22:10
Dec 10, 23;@ CHI;0;1;1;0;0;0;0;0;0;0;2;18;18:04
Dec 9, 23;vs NYR;0;0;0;1;0;0;0;0;0;0;4;19;19:14
Dec 7, 23;vs DAL;0;1;1;0;0;0;1;0;0;0;3;21;17:49
Dec 4, 23;@ ARI;0;0;0;-1;0;0;0;0;0;0;3;19;19:31
Dec 2, 23;@ VGK;0;0;0;-1;0;0;0;0;0;0;1;21;15:32
Nov 30, 23;@ ANA;0;2;2;-2;0;0;2;0;0;0;5;21;14:45
Nov 29, 23;@ LAK;0;0;0;0;0;0;0;0;0;0;2;18;13:37
Nov 27, 23;@ SJS;0;0;0;-1;0;0;0;0;0;0;5;19;22:02
Nov 24, 23;vs EDM;0;0;0;-1;2;0;0;0;0;0;3;20;23:54
Nov 22, 23;vs BUF;0;0;0;0;0;0;0;0;0;0;4;21;20:19
Nov 14, 23;vs VGK;0;0;0;1;0;0;0;0;0;0;3;22;21:59
Nov 10, 23;@ NJD;0;1;1;1;0;0;0;0;0;0;3;23;21:19
Nov 8, 23;vs FLA;0;0;0;-1;0;0;0;0;0;0;2;25;22:31
Nov 4, 23;vs CBJ;0;0;0;0;0;0;0;0;0;0;3;19;20:41
Nov 2, 23;vs NYI;0;0;0;-3;0;0;0;0;0;0;3;19;19:29
Oct 29, 23;vs SJS;0;2;2;2;0;0;0;0;0;0;7;23;22:20
Oct 27, 23;vs MIN;0;1;1;0;0;0;1;0;0;0;3;25;22:23
Oct 21, 23;@ MTL;0;1;1;1;2;0;0;0;0;0;5;20;19:58
Oct 18, 23;@ OTT;0;1;1;-1;0;0;0;0;0;0;0;20;18:33
Oct 16, 23;vs CGY;0;0;0;0;0;0;0;0;0;0;0;20;20:04
Oct 13, 23;vs PIT;0;0;0;-1;2;0;0;0;0;0;4;21;18:42
Apr 13, 23;vs NJD;0;1;1;-2;0;0;0;0;0;0;4;26;20:02
Apr 6, 23;@ MTL;0;1;1;-2;0;0;0;0;0;0;1;20;21:50
Apr 2, 23;vs NYR;0;1;1;1;12;0;0;0;0;0;1;19;18:27
Mar 30, 23;@ TBL;0;0;0;-3;0;0;0;0;0;0;2;23;21:09
Mar 29, 23;vs NYI;0;0;0;-1;0;0;0;0;0;0;1;22;18:48
Mar 25, 23;@ PIT;1;0;1;-2;2;1;1;0;0;0;4;25;21:04
Mar 23, 23;vs CHI;1;1;2;2;4;0;0;0;0;0;3;22;17:39
Mar 21, 23;vs CBJ;1;0;1;2;0;0;0;0;0;0;3;24;20:30
Mar 19, 23;@ MIN;2;1;3;-1;0;2;2;0;0;0;8;19;17:56
Mar 17, 23;vs STL;0;1;1;-4;0;0;1;0;0;0;4;20;21:00
Mar 15, 23;vs BUF;1;1;2;0;2;0;1;0;0;0;5;25;19:32
Mar 11, 23;@ NYI;0;1;1;0;0;0;0;0;0;0;4;19;19:49
Mar 9, 23;vs NJD;0;0;0;0;2;0;0;0;0;0;2;23;18:28
Mar 6, 23;@ LAK;1;0;1;-3;0;1;1;0;0;0;4;20;17:47
Mar 4, 23;@ SJS;2;1;3;1;0;0;1;0;0;0;4;23;17:06
Mar 1, 23;@ ANA;0;0;0;1;0;0;0;0;0;0;3;24;22:38
Feb 26, 23;@ BUF;1;0;1;-2;0;0;0;0;0;0;7;21;16:03
Feb 25, 23;vs NYR;0;2;2;2;0;0;0;0;0;0;2;19;17:43
Feb 23, 23;vs ANA;0;0;0;-2;0;0;0;0;0;0;5;22;21:36
Feb 12, 23;vs SJS;0;0;0;-1;2;0;0;0;0;0;1;22;20:34
Feb 11, 23;@ BOS;0;0;0;0;4;0;0;0;0;0;2;24;18:00
Jan 31, 23;@ CBJ;0;0;0;-1;0;0;0;0;0;0;3;19;16:30
Jan 29, 23;@ TOR;0;0;0;-2;0;0;0;0;0;0;6;23;22:10
Jan 26, 23;vs PIT;1;0;1;-1;0;1;1;0;0;0;7;23;21:05
Jan 24, 23;@ COL;1;0;1;0;0;0;0;0;0;0;3;25;23:32
Jan 19, 23;@ ARI;0;0;0;1;0;0;0;0;0;0;2;21;17:54
Jan 17, 23;vs MIN;0;2;2;0;0;0;0;0;0;0;3;22;21:41
Jan 16, 23;@ NYI;0;1;1;1;0;0;0;0;0;0;2;24;21:25
Jan 14, 23;vs PHI;1;0;1;0;0;0;0;0;0;0;5;20;21:50
Jan 11, 23;@ PHI;0;0;0;-2;2;0;0;0;0;0;6;22;20:43
Jan 8, 23;vs CBJ;0;0;0;0;0;0;0;0;0;0;5;21;19:46
